Image_ID,Transformation,Intensite,Algo,Distance
0,Compression,0,aHash,1
0,Compression,0,pHash,2
0,Compression,0,dHash,1
0,Compression,0,wHash,0
0,Compression,5,aHash,0
0,Compression,5,pHash,4
0,Compression,5,dHash,1
0,Compression,5,wHash,0
0,Compression,10,aHash,2
0,Compression,10,pHash,0
0,Compression,10,dHash,2
0,Compression,10,wHash,0
0,Compression,15,aHash,0
0,Compression,15,pHash,2
0,Compression,15,dHash,1
0,Compression,15,wHash,0
0,Compression,20,aHash,1
0,Compression,20,pHash,0
0,Compression,20,dHash,0
0,Compression,20,wHash,0
0,Compression,25,aHash,0
0,Compression,25,pHash,0
0,Compression,25,dHash,1
0,Compression,25,wHash,0
0,Compression,30,aHash,0
0,Compression,30,pHash,0
0,Compression,30,dHash,0
0,Compression,30,wHash,0
0,Compression,35,aHash,0
0,Compression,35,pHash,0
0,Compression,35,dHash,0
0,Compression,35,wHash,0
0,Compression,40,aHash,0
0,Compression,40,pHash,0
0,Compression,40,dHash,0
0,Compression,40,wHash,0
0,Compression,45,aHash,0
0,Compression,45,pHash,0
0,Compression,45,dHash,0
0,Compression,45,wHash,0
0,Compression,50,aHash,0
0,Compression,50,pHash,0
0,Compression,50,dHash,1
0,Compression,50,wHash,0
0,Compression,55,aHash,0
0,Compression,55,pHash,0
0,Compression,55,dHash,1
0,Compression,55,wHash,0
0,Compression,60,aHash,0
0,Compression,60,pHash,0
0,Compression,60,dHash,0
0,Compression,60,wHash,0
0,Compression,65,aHash,0
0,Compression,65,pHash,0
0,Compression,65,dHash,1
0,Compression,65,wHash,0
0,Compression,70,aHash,0
0,Compression,70,pHash,0
0,Compression,70,dHash,0
0,Compression,70,wHash,0
0,Compression,75,aHash,0
0,Compression,75,pHash,0
0,Compression,75,dHash,0
0,Compression,75,wHash,0
0,Compression,80,aHash,0
0,Compression,80,pHash,0
0,Compression,80,dHash,0
0,Compression,80,wHash,0
0,Compression,85,aHash,0
0,Compression,85,pHash,0
0,Compression,85,dHash,0
0,Compression,85,wHash,0
0,Compression,90,aHash,0
0,Compression,90,pHash,0
0,Compression,90,dHash,0
0,Compression,90,wHash,0
0,Compression,95,aHash,0
0,Compression,95,pHash,0
0,Compression,95,dHash,0
0,Compression,95,wHash,0
0,Compression,100,aHash,0
0,Compression,100,pHash,0
0,Compression,100,dHash,0
0,Compression,100,wHash,0
0,Resize_Standard,0,aHash,20
0,Resize_Standard,0,pHash,31
0,Resize_Standard,0,dHash,26
0,Resize_Standard,0,wHash,32
0,Resize_Standard,5,aHash,0
0,Resize_Standard,5,pHash,0
0,Resize_Standard,5,dHash,1
0,Resize_Standard,5,wHash,0
0,Resize_Standard,10,aHash,0
0,Resize_Standard,10,pHash,0
0,Resize_Standard,10,dHash,0
0,Resize_Standard,10,wHash,0
0,Resize_Standard,15,aHash,0
0,Resize_Standard,15,pHash,0
0,Resize_Standard,15,dHash,1
0,Resize_Standard,15,wHash,0
0,Resize_Standard,20,aHash,0
0,Resize_Standard,20,pHash,0
0,Resize_Standard,20,dHash,1
0,Resize_Standard,20,wHash,0
0,Resize_Standard,25,aHash,0
0,Resize_Standard,25,pHash,0
0,Resize_Standard,25,dHash,0
0,Resize_Standard,25,wHash,0
0,Resize_Standard,30,aHash,0
0,Resize_Standard,30,pHash,0
0,Resize_Standard,30,dHash,0
0,Resize_Standard,30,wHash,0
0,Resize_Standard,35,aHash,0
0,Resize_Standard,35,pHash,0
0,Resize_Standard,35,dHash,0
0,Resize_Standard,35,wHash,0
0,Resize_Standard,40,aHash,0
0,Resize_Standard,40,pHash,0
0,Resize_Standard,40,dHash,0
0,Resize_Standard,40,wHash,0
0,Resize_Standard,45,aHash,0
