Categorie,Image_ID,Attaque_Complete,Type_Attaque,Intensite,Algorithme,Param_binbits,Distance,Similarite_Pct
faces,0,Occlusion_75,Occlusion,75,colorHash,6,9.0,89.28571428571429
faces,1,Original,Original,0,colorHash,2,0.0,100.0
faces,1,Original,Original,0,colorHash,3,0.0,100.0
faces,1,Original,Original,0,colorHash,4,0.0,100.0
faces,1,Original,Original,0,colorHash,5,0.0,100.0
faces,1,Original,Original,0,colorHash,6,0.0,100.0
faces,1,Compression_90,Compression,90,colorHash,2,0.0,100.0
faces,1,Compression_90,Compression,90,colorHash,3,0.0,100.0
faces,1,Compression_90,Compression,90,colorHash,4,0.0,100.0
faces,1,Compression_90,Compression,90,colorHash,5,0.0,100.0
faces,1,Compression_90,Compression,90,colorHash,6,0.0,100.0
faces,1,Compression_75,Compression,75,colorHash,2,0.0,100.0
faces,1,Compression_75,Compression,75,colorHash,3,0.0,100.0
faces,1,Compression_75,Compression,75,colorHash,4,0.0,100.0
faces,1,Compression_75,Compression,75,colorHash,5,0.0,100.0
faces,1,Compression_75,Compression,75,colorHash,6,0.0,100.0
faces,1,Compression_50,Compression,50,colorHash,2,0.0,100.0
faces,1,Compression_50,Compression,50,colorHash,3,0.0,100.0
faces,1,Compression_50,Compression,50,colorHash,4,0.0,100.0
faces,1,Compression_50,Compression,50,colorHash,5,0.0,100.0
faces,1,Compression_50,Compression,50,colorHash,6,0.0,100.0
faces,1,Compression_25,Compression,25,colorHash,2,0.0,100.0
faces,1,Compression_25,Compression,25,colorHash,3,0.0,100.0
faces,1,Compression_25,Compression,25,colorHash,4,1.0,98.21428571428571
faces,1,Compression_25,Compression,25,colorHash,5,3.0,95.71428571428571
faces,1,Compression_25,Compression,25,colorHash,6,3.0,96.42857142857143
faces,1,Compression_10,Compression,10,colorHash,2,0.0,100.0
faces,1,Compression_10,Compression,10,colorHash,3,1.0,97.61904761904762
faces,1,Compression_10,Compression,10,colorHash,4,2.0,96.42857142857143
faces,1,Compression_10,Compression,10,colorHash,5,3.0,95.71428571428571
faces,1,Compression_10,Compression,10,colorHash,6,2.0,97.61904761904762
faces,1,Resize_50,Resize,50,colorHash,2,0.0,100.0
faces,1,Resize_50,Resize,50,colorHash,3,0.0,100.0
faces,1,Resize_50,Resize,50,colorHash,4,0.0,100.0
faces,1,Resize_50,Resize,50,colorHash,5,0.0,100.0
faces,1,Resize_50,Resize,50,colorHash,6,0.0,100.0
faces,1,Resize_75,Resize,75,colorHash,2,0.0,100.0
faces,1,Resize_75,Resize,75,colorHash,3,0.0,100.0
faces,1,Resize_75,Resize,75,colorHash,4,0.0,100.0
faces,1,Resize_75,Resize,75,colorHash,5,0.0,100.0
faces,1,Resize_75,Resize,75,colorHash,6,0.0,100.0
faces,1,Resize_90,Resize,90,colorHash,2,0.0,100.0
faces,1,Resize_90,Resize,90,colorHash,3,0.0,100.0
faces,1,Resize_90,Resize,90,colorHash,4,1.0,98.21428571428571
faces,1,Resize_90,Resize,90,colorHash,5,1.0,98.57142857142857
faces,1,Resize_90,Resize,90,colorHash,6,2.0,97.61904761904762
faces,1,Downscale_50,Downscale,50,colorHash,2,0.0,100.0
faces,1,Downscale_50,Downscale,50,colorHash,3,0.0,100.0
faces,1,Downscale_50,Downscale,50,colorHash,4,0.0,100.0
faces,1,Downscale_50,Downscale,50,colorHash,5,0.0,100.0
faces,1,Downscale_50,Downscale,50,colorHash,6,0.0,100.0
faces,1,Downscale_75,Downscale,75,colorHash,2,0.0,100.0
faces,1,Downscale_75,Downscale,75,colorHash,3,0.0,100.0
faces,1,Downscale_75,Downscale,75,colorHash,4,1.0,98.21428571428571
faces,1,Downscale_75,Downscale,75,colorHash,5,1.0,98.57142857142857
faces,1,Downscale_75,Downscale,75,colorHash,6,2.0,97.61904761904762
faces,1,Downscale_90,Downscale,90,colorHash,2,0.0,100.0
faces,1,Downscale_90,Downscale,90,colorHash,3,0.0,100.0
faces,1,Downscale_90,Downscale,90,colorHash,4,1.0,98.21428571428571
faces,1,Downscale_90,Downscale,90,colorHash,5,1.0,98.57142857142857
faces,1,Downscale_90,Downscale,90,colorHash,6,3.0,96.42857142857143
faces,1,Occlusion_10,Occlusion,10,colorHash,2,1.0,96.42857142857143
faces,1,Occlusion_10,Occlusion,10,colorHash,3,2.0,95.23809523809524
faces,1,Occlusion_10,Occlusion,10,colorHash,4,3.0,94.64285714285714
faces,1,Occlusion_10,Occlusion,10,colorHash,5,5.0,92.85714285714286
faces,1,Occlusion_10,Occlusion,10,colorHash,6,4.0,95.23809523809524
faces,1,Occlusion_25,Occlusion,25,colorHash,2,1.0,96.42857142857143
faces,1,Occlusion_25,Occlusion,25,colorHash,3,2.0,95.23809523809524
faces,1,Occlusion_25,Occlusion,25,colorHash,4,4.0,92.85714285714286
faces,1,Occlusion_25,Occlusion,25,colorHash,5,3.0,95.71428571428571
faces,1,Occlusion_25,Occlusion,25,colorHash,6,4.0,95.23809523809524
faces,1,Occlusion_50,Occlusion,50,colorHash,2,1.0,96.42857142857143
faces,1,Occlusion_50,Occlusion,50,colorHash,3,6.0,85.71428571428572
faces,1,Occlusion_50,Occlusion,50,colorHash,4,5.0,91.07142857142857
faces,1,Occlusion_50,Occlusion,50,colorHash,5,8.0,88.57142857142857
faces,1,Occlusion_50,Occlusion,50,colorHash,6,7.0,91.66666666666667
